verb_id,class_key
0,activate
1,add
2,add-from
3,add-in
4,add-into
5,add-on
6,add-to
7,adjust
8,adjust-in
9,adjust-on
10,align
11,apply
12,apply-in
13,apply-to
14,arrange
15,arrange-in
16,arrange-on
17,assemble
18,attach
19,attach-onto
20,attach-to
21,bake
22,ball-up
23,bash-against
24,beat
25,begin
26,bend
27,bin
28,bite
29,blend
30,blow
31,blow-out
32,boil
33,boil-with
34,break
35,break-apart
36,break-in
37,break-into
38,break-off
39,break-up
40,bring
41,bring-into
42,browse
43,brush
44,brush-into
45,brush-off
46,brush-on
47,brush-onto
48,brush-with
49,calibrate
50,carry
51,catch
52,change
53,change-for
54,check
55,check-in
56,check-on
57,chew-on
58,choose
59,chop
60,chop-in
61,chop-into
62,chop-off
63,chop-up
64,chop-with
65,chuck-into
66,clamp
67,clean
68,clean-around
69,clean-from
70,clean-off
71,clean-up
72,clean-with
73,clear
74,clip
75,close
76,close-in
77,close-off
78,close-on
79,coil
80,collapse
81,collect
82,collect-from
83,collect-into
84,combine
85,combine-from
86,combine-into
87,compress
88,compress-in
89,compress-on
90,connect
91,cook
92,cook-into
93,cool
94,count
95,cover
96,cover-in
97,cover-with
98,crack
99,crack-in
100,crack-into
101,crack-on
102,create
103,crumble
104,crumple
105,crumple-up
106,crush
107,crush-in
108,crush-into
109,crush-with
110,cut
111,cut-by
112,cut-from
113,cut-in
114,cut-into
115,cut-off
116,cut-on
117,cut-out
118,cut-with
119,dab
120,dab-in
121,dab-with
122,damp
123,debone
124,deburr
125,decide
126,defoliate
127,desee
128,detach-from
129,dice
130,dip
131,disassemble
132,discard
133,dish
134,dispose-of
135,distribute
136,distribute-in
137,distribute-onto
138,divide
139,divide-into
140,dose
141,drag-around
142,drag-through
143,drain
144,drain-from
145,drain-in
146,drain-into
147,drain-on
148,drape
149,draw
150,drink
151,drink-from
152,drizzle
153,drizzle-into
154,drizzle-on
155,drop
156,drop-in
157,drop-into
158,drop-on
159,dry
160,dry-in
161,dry-off
162,dry-on
163,dry-with
164,dump-out
165,eat
166,eat-from
167,eat-on
168,empty
169,empty-from
170,empty-into
171,empty-out
172,end
173,end-of
174,ensure
175,enter
176,enter-into
177,examine
178,expand
179,extract
180,extract-from
181,fall-on
182,fasten
183,feel
184,fetch
185,fill
186,fill-from
187,fill-into
188,fill-up
189,fill-with
190,filter
191,find
192,finish
193,fish-out
194,fit
195,fit-inside
196,fix
197,flatten
198,flatten-out
199,flatten-with
200,flick
201,flick-up
202,flip
203,flip-in
204,flip-onto
205,flip-over
206,flip-through
207,flip-with
208,flush
209,fold
210,fold-in
211,fold-into
212,fold-over
213,fold-up
214,forge
215,fork
216,form
217,form-from
218,form-into
219,fry
220,fumble-for
221,gather
222,gather-from
223,gather-in
224,gather-into
225,gather-with
226,get
227,get-from
228,get-into
229,get-off
230,get-on
231,get-out
232,get-with
233,grab
234,grab-down
235,grab-up
236,grate
237,grate-into
238,grate-on
239,grate-onto
240,grind
241,grind-into
242,grind-onto
243,half
244,halve
245,hand
246,hang
247,hang-on
248,hang-up
249,have
250,heat
251,hit
252,hit-on
253,hit-with
254,hold
255,hold-along
256,hold-down
257,hold-in
258,hold-onto
259,hold-out
260,hold-over
261,hold-with
262,hone
263,hoover
264,ignite
265,immerge
266,immerse
267,increase
268,increase-on
269,insert
270,insert-in
271,insert-into
272,inspect
273,jiggle
274,juice
275,julienne
276,knead
277,ladle
278,lather
279,lay
280,lay-down
281,lay-on
282,lay-onto
283,lay-out
284,lay-over
285,layer-on
286,leave
287,leave-in
288,leave-with
289,let
290,let-out
291,level
292,lick
293,lid-off
294,lift
295,lift-from
296,lift-off
297,lift-out
298,lift-up
299,light
300,line-up
301,load
302,locate
303,lock
304,lock-in
305,lock-into
306,lock-on
307,look
308,look-at
309,look-behind
310,look-for
311,look-in
312,look-inside
313,look-through
314,look-under
315,loose
316,lower
317,make
318,make-in
319,make-into
320,marinate
321,mark
322,mark-on
323,mash
324,measure
325,measure-in
326,measure-into
327,measure-out
328,mix
329,mix-around
330,mix-in
331,mix-into
332,mix-so
333,mix-with
334,mop-up
335,move
336,move-along
337,move-around
338,move-from
339,move-in
340,move-into
341,move-off
342,move-on
343,move-onto
344,move-through
345,move-to
346,move-with
347,move-within
348,mushroom-onto
349,oil
350,open
351,open-into
352,open-on
353,open-to
354,open-up
355,open-with
356,overturn
357,pace
358,pack
359,pass-to
360,paste-onto
361,pat
362,pat-down
363,pat-into
364,peel
365,peel-back
366,peel-from
367,peel-off
368,peel-with
369,pepper-in
370,pet-down
371,pick
372,pick-from
373,pick-into
374,pick-off
375,pick-out
376,pick-up
377,pierce
378,pierce-in
379,pile
380,place
381,place-away
382,place-back
383,place-down
384,place-in
385,place-inside
386,place-into
387,place-on
388,place-onto
389,place-over
390,place-under
391,place-up
392,place-with
393,plate-on
394,plate-up
395,play
396,plug
397,plug-in
398,plug-into
399,poke
400,pop-into
401,pop-out
402,pose
403,position
404,pour
405,pour-down
406,pour-from
407,pour-in
408,pour-inside
409,pour-into
410,pour-on
411,pour-onto
412,pour-out
413,pour-over
414,pout
415,prepare
416,prepare-for
417,press
418,press-down
419,press-in
420,press-into
421,press-on
422,press-onto
423,prod
424,pull
425,pull-down
426,pull-from
427,pull-off
428,pull-on
429,pull-out
430,pull-through
431,pull-up
432,pump-onto
433,push
434,push-down
435,push-in
436,push-into
437,push-off
438,push-on
439,push-onto
440,push-out
441,put
442,put-around
443,put-aside
444,put-away
445,put-back
446,put-between
447,put-down
448,put-for
449,put-from
450,put-in
451,put-inside
452,put-into
453,put-of
454,put-on
455,put-onto
456,put-outside
457,put-over
458,put-to
459,put-under
460,put-unto
461,put-up
462,put-with
463,raise
464,read
465,read-on
466,realize
467,rearrange
468,rearrange-in
469,reattach
470,reconstruct
471,recycle
472,regulate
473,release-from
474,remain-in
475,remove
476,remove-from
477,remove-inside
478,remove-into
479,remove-off
480,remove-on
481,remove-out
482,replace
483,reposition
484,reseal
485,rest-against
486,rest-on
487,rest-onto
488,restart
489,retrieve
490,return
491,return-from
492,return-into
493,return-to
494,reverse
495,rewrap
496,rifle-through
497,rinse
498,rinse-from
499,rinse-in
500,rinse-into
501,rinse-off
502,rinse-on
503,rinse-out
504,rinse-under
505,rip
506,rip-off
507,rip-with
508,rise
509,rise-up
510,roll
511,roll-around
512,roll-down
513,roll-in
514,roll-into
515,roll-on
516,roll-out
517,roll-over
518,roll-up
519,rotate
520,rotate-around
521,rotate-to
522,rub
523,rub-around
524,rub-in
525,rub-into
526,rub-off
527,rub-on
528,rub-onto
529,rub-over
530,rub-with
531,rubbish-in
532,rummage-in
533,salt
534,salt-in
535,sample
536,save
537,scatter-onto
538,scoop
539,scoop-from
540,scoop-in
541,scoop-into
542,scoop-out
543,scoop-up
544,scoop-with
545,score
546,scour
547,scramble
548,scrap-on
549,scrape
550,scrape-against
551,scrape-around
552,scrape-down
553,scrape-from
554,scrape-in
555,scrape-into
556,scrape-off
557,scrape-on
558,scrape-onto
559,scrape-out
560,scrape-up
561,scrape-with
562,scratch
563,scratch-off
564,screw
565,screw-in
566,screw-off
567,screw-on
568,screw-onto
569,scrub
570,scrub-down
571,scrub-inside
572,scrunch-up
573,seal
574,seal-with
575,search
576,search-for
577,search-in
578,season
579,season-with
580,see
581,see-off
582,select
583,separate
584,separate-from
585,serve
586,serve-in
587,serve-on
588,set
589,set-down
590,set-in
591,set-off
592,set-on
593,set-out
594,set-to
595,set-up
596,shake
597,shake-in
598,shake-into
599,shake-off
600,shake-on
601,shake-onto
602,shake-out
603,shake-over
604,shake-with
605,shape
606,shape-into
607,sharpen
608,sheath
609,sheathe
610,shovel-up
611,shred
612,shut
613,shut-off
614,sieve
615,sieve-with
616,sit-on
617,skin
618,skin-from
619,slice
620,slice-along
621,slice-from
622,slice-in
623,slice-into
624,slice-off
625,slice-onto
626,slice-through
627,slice-to
628,slice-up
629,slice-with
630,slide
631,slide-acros
632,slide-along
633,slide-from
634,slide-inside
635,slide-into
636,slide-off
637,slide-on
638,slide-onto
639,slide-out
640,smash
641,smell
642,smooth-into
643,snap
644,snap-in
645,sniff
646,snip
647,soak
648,soak-in
649,soap
650,soap-up
651,soften
652,sort
653,sort-in
654,spay
655,spill
656,spin
657,split
658,split-into
659,sponge
660,spoon
661,spoon-in
662,spoon-into
663,spoon-onto
664,spoon-out
665,spray
666,spray-down
667,spray-on
668,spread
669,spread-in
670,spread-into
671,spread-on
672,spread-onto
673,spread-out
674,spread-over
675,spread-with
676,sprinkle
677,sprinkle-into
678,sprinkle-on
679,sprinkle-onto
680,sprinkle-over
681,squash
682,squeeze
683,squeeze-around
684,squeeze-from
685,squeeze-in
686,squeeze-into
687,squeeze-onto
688,squeeze-out
689,squidge
690,squidge-into
691,squidge-with
692,squirt
693,squish
694,squish-into
695,stab
696,stack
697,stack-in
698,stack-up
699,stand-up
700,stare-at
701,start
702,steam
703,stem
704,step-off
705,step-on
706,stir
707,stir-fry
708,stir-in
709,stir-into
710,stir-on
711,stir-with
712,stop
713,store
714,store-in
715,straighten
716,straighten-out
717,strain
718,strain-from
719,strain-in
720,stretch
721,stretch-around
722,stretch-onto
723,stretch-out
724,stuff
725,stuff-with
726,submerge
727,submerge-in
728,swallow
729,swap
730,sweep
731,sweep-from
732,sweep-into
733,sweep-off
734,sweep-up
735,sweeten
736,swirl
737,swirl-in
738,switch
739,switch-of
740,switch-off
741,switch-on
742,switch-out
743,switch-to
744,switch-up
745,take
746,take-down
747,take-from
748,take-in
749,take-inside
750,take-into
751,take-of
752,take-off
753,take-on
754,take-out
755,take-to
756,take-up
757,take-with
758,tap
759,tap-against
760,tap-off
761,tap-on
762,tap-with
763,taste
764,tear
765,tear-down
766,tear-from
767,tear-in
768,tear-into
769,tear-off
770,tear-on
771,tear-out
772,tessellate
773,test
774,throw
775,throw-away
776,throw-down
777,throw-for
778,throw-from
779,throw-in
780,throw-inside
781,throw-into
782,throw-off
783,throw-on
784,throw-onto
785,throw-out
786,throw-over
787,throw-to
788,tidy
789,tie
790,tie-in
791,tighten
792,tilt
793,tip
794,tip-from
795,tip-in
796,tip-into
797,tip-out
798,tip-over
799,tip-to
800,toast
801,top
802,toss
803,touch
804,transfer
805,transfer-from
806,transfer-into
807,transfer-to
808,transition
809,trash
810,trim
811,trim-into
812,tuck-under
813,tun-on
814,turn
815,turn-around
816,turn-away
817,turn-down
818,turn-in
819,turn-of
820,turn-off
821,turn-on
822,turn-over
823,turn-to
824,turn-up
825,turn-with
826,twist
827,twist-off
828,twist-on
829,unattach
830,unclip
831,uncork
832,uncover
833,unfold
834,unfreeze
835,unfurl
836,unload
837,unlock
838,unlock-from
839,unpack
840,unplug
841,unravel
842,unroll
843,unroll-from
844,unscrew
845,unscrew-from
846,unseal
847,unsheathe
848,untilt
849,untwist
850,unwrap
851,unzip
852,upturn
853,use
854,use-to
855,waft
856,wait
857,wait-for
858,walk
859,walk-around
860,walk-into
861,walk-with
862,wash
863,wash-around
864,wash-in
865,wash-off
866,wash-on
867,wash-out
868,wash-under
869,wash-up
870,wash-with
871,watch
872,water
873,water-off
874,water-on
875,wear
876,weigh
877,wet
878,whisk
879,whisk-in
880,wipe
881,wipe-around
882,wipe-down
883,wipe-from
884,wipe-into
885,wipe-of
886,wipe-off
887,wipe-on
888,wipe-onto
889,wipe-over
890,wipe-up
891,wipe-with
892,wrap
893,wrap-around
894,wrap-in
895,wrap-over
896,wrap-up
897,wrap-with
898,wring
899,wring-out
900,zero
901,zest-into
