noun_id,class_key,nouns,relevant
0,Nothing,['Nothing'],False
1,pan,"['pan', 'pan:sauce', 'pan:frying', 'pan:cake', 'saucepan', 'saucepan:empty', 'saucepan:small', 'wok', 'wok:scour', 'pan:content']",True
2,pan:dust,"['pan:dust', 'dustpan']",False
3,tap,"['tap', 'tap:water', 'nozzle', 'nozzle:coffee']",True
4,plate,"['plate', 'plate:pasta', 'saucer', 'dish', 'plate:salad', 'plate:lasagna', 'food:plate', 'flatware', 'pate']",True
5,knife,"['knife', 'knife:mincing', 'knife:using', 'blade', 'chopper', 'knife:mezzaluna', 'chopper:moon', 'mezzaluna']",True
6,bowl,"['bowl', 'bowl:salad', 'bowl:glass', 'bowl:sugar', 'bowl:empty', 'bowl:cooker', 'bowl:washing', 'bowl:egg', 'bowl:processor']",True
7,spoon,"['spoon', 'spoon:wooden', 'spoon:using', 'teaspoon', 'risotto:spoon', 'spade', 'spade:food', 'spoon:coffee', 'spoon:tea', 'measure', 'stirrer:coffee', 'scoop', 'stirrer', 'tablespoon']",True
8,cupboard,"['cupboard', 'cabinet', 'locker', 'flap', 'door', 'door:cabinet', 'door:cupboard', 'closet']",False
9,drawer,"['drawer', 'drawer:dishwasher', 'drawer:freezer', 'drawer:refrigerator', 'draw']",False
10,fridge,"['fridge', 'refrigerator', 'door:refrigerator', 'door:fridge']",True
11,lid,"['lid', 'lid:pot', 'lid:tin', 'lid:saucepan', 'lid:tupperware', 'lid:box', 'lid:pan', 'lid:bottle', 'lid:teapot', 'lid:kettle', 'lid:yoghurt', 'lid:chopper', 'seal']",True
12,hand,"['hand', 'hand:using', 'hand:my']",False
13,onion,"['onion', 'onion:cutting', 'piece:onion', 'bit:onion']",True
14,onion:spring,['onion:spring'],True
15,pot,"['pot', 'pot:coffee', 'pot:small', 'pot:white', 'pot:right', 'pot:left', 'pot:teapot', 'pot:second', 'teapot', 'part:teapot', 'pot:pressure', 'pot:pasta', 'pot:sauce', 'pot:third', 'pot:first']",True
16,glass,"['glass', 'glass:wine', 'glass:empty']",True
17,water,"['water', 'water:tap', 'water:empty', 'water:excess', 'water:hot', 'water:more', 'excess:water']",True
18,fork,"['fork', 'fork:soap']",True
19,board:chopping,"['board:chopping', 'board:cutting', 'board', 'board:serving', 'block:chopping', 'board:cut', 'block']",True
20,bag,"['bag', 'bag:plastic', 'bag:pasta', 'bag:mozzarella', 'bag:cereal', 'bag:grape', 'bag:flour', 'bag:cheese', 'bag:nut', 'bag:rice', 'bag:oregano', 'bag:salad', 'bag:bin', 'bag:coffee', 'bag:spaghetti', 'bag:food', 'bag:trash', 'bag:onion', 'bag:carrot', 'bag:bread', 'bag:grapes', 'bag:sandwich', 'bag:kitchen']",True
21,sponge,"['sponge', 'scrubber']",False
22,spatula,"['spatula', 'spatula:wooden', 'spate']",True
23,cup,"['cup', 'cup:coffee', 'cup:measuring', 'cup:small', 'mug', 'mug:rinse', 'mug:clean']",True
24,oil,"['oil', 'oil:olive', 'oil:chilli', 'oil:sesame']",True
25,bin,"['bin', 'bin:trash', 'bin:dust', 'bin:food', 'dustbin', 'bin:rubbish', 'bin:garbage', 'bin:recycling', 'basket:waste', 'wastebasket']",False
26,meat,"['meat', 'meat:minced', 'piece:meat', 'mix:meat', 'meat:mix', 'mincemeat', 'meat:mince']",True
27,potato,"['potato', 'potato:baby']",True
28,bottle,"['bottle', 'bottle:oil', 'bottle:milk', 'bottle:water', 'bottle:sauce', 'bottle:pesto', 'bottle:vinegar']",True
29,container,"['container', 'container:food', 'container:milk', 'container:sauce', 'container:rice', 'container:tofu', 'container:sugar', 'container:salt', 'container:tomato', 'container:pasta', 'container:cake', 'bin:bread', 'bucket']",True
30,tomato,"['tomato', 'tomato:dried', 'tomato:cherry', 'tomato:chopped', 'sun']",True
31,salt,"['salt', 'seasoning']",True
32,cloth,"['cloth', 'cloth:table', 'rag', 'cloth:dish', 'cloth:cleaning', 'cloth:washing', 'dishrag']",False
33,sink,"['sink', 'sink:kitchen', 'sink:water']",True
34,door:kitchen,['door:kitchen'],False
35,pasta,"['pasta', 'spaghetti', 'piece:pasta', 'lasagne']",True
36,dish:soap,['dish:soap'],False
37,food,"['food', 'food:scoop', 'residue:food', 'bit:food', 'grocery']",True
38,kettle,['kettle'],True
39,box,"['box', 'box:lunch', 'box:cereal', 'box:tea', 'box:salt', 'tupperware', 'lunchbox', 'case', 'box:mushroom', 'box:coffee', 'box:cheese', 'box:milk', 'box:rice', 'box:carrot', 'box:fruit', 'pot:plastic', 'tub', 'box:plastic', 'box:eggs', 'box:fajita']",False
40,carrot,"['carrot', 'carrot:tail']",True
41,sauce,"['sauce', 'sauce:soy', 'sauce:fish', 'sauce:pesto', 'sauce:tomato', 'salsa', 'tabasco', 'sauce:soya', 'soy', 'passata', 'mirin']",True
42,colander,"['colander', 'strainer:pasta']",True
43,milk,"['milk', 'milk:soy', 'milk:coconut', 'milk:soya']",True
44,rice,"['rice', 'rice:scoop']",True
45,garlic,"['garlic', 'garlic:chop', 'garlic:peel', 'piece:garlic', 'clove', 'bit:garlic', 'bulb']",True
46,pepper,"['pepper', 'pepper:bell']",True
47,hob,"['hob', 'stove', 'gas', 'burners', 'hop', 'hot', 'burner']",True
48,dough,['dough'],True
49,dishwasher,"['dishwasher', 'dishwater']",False
50,egg,"['egg', 'flour:egg']",True
51,cheese,"['cheese', 'slice:cheese', 'mixture:cheese', 'mozzarella', 'paneer', 'slice:mozzarella', 'parmesan']",True
52,bread,"['bread', 'bread:white', 'bread:toast', 'loaf', 'rusk', 'toast', 'bun:hamburger', 'slice:bread', 'ciabatta', 'bread:sandwich']",True
53,table,"['table', 'table:round']",False
54,salad,"['salad', 'salad:cucumber']",True
55,microwave,"['microwave', 'oven:microwave']",True
56,oven,"['oven', 'oven:adjust', 'cooker', 'door:oven']",True
57,cooker:slow,"['cooker:slow', 'cooker:rice']",True
