task,best_val_acc,best_val_loss,block_size,epochs,batch_size,lr,weight_decay,dropout,hidden_dims,test_size,random_state,patience
verb,0.7321076989173889,0.9941104650497437,64,30,256,0.0002,0.0003,0.25,"[1536, 768]",0.2,42,7
verb,0.7307944893836975,1.106194257736206,64,30,256,0.0003,0.0005,0.3,"[1536, 768]",0.2,42,7
verb,0.7281680703163147,1.0100663900375366,64,30,256,0.0002,0.0008,0.2,"[1024, 512]",0.2,42,7
verb,0.727511465549469,1.2162129878997803,64,30,256,0.0003,0.0003,0.2,"[1536, 768]",0.2,42,7
verb,0.7268549203872681,1.1048557758331299,64,30,256,0.0002,0.0008,0.3,"[1536, 768]",0.2,42,7
verb,0.7268549203872681,1.1445560455322266,64,30,256,0.0003,0.0003,0.2,"[1024, 512, 256]",0.2,42,7
verb,0.7261983156204224,1.0923566818237305,64,30,256,0.0005,0.0008,0.2,"[1024, 512]",0.2,42,7
verb,0.7255417108535767,1.1856553554534912,64,30,256,0.0005,0.0003,0.25,"[1536, 768]",0.2,42,7
verb,0.7229152917861938,1.0513684749603271,64,30,256,0.0002,0.0003,0.3,"[1536, 768]",0.2,42,7
verb,0.7222586870193481,1.0498559474945068,64,30,256,0.0003,0.0005,0.2,"[1536, 768]",0.2,42,7
verb,0.7222586870193481,1.0816117525100708,64,30,256,0.0003,0.0005,0.25,"[1024, 512]",0.2,42,7
verb,0.7222586870193481,1.093970775604248,64,30,256,0.0002,0.0003,0.2,"[1024, 512]",0.2,42,7
verb,0.7209454774856567,1.0259363651275635,64,30,256,0.0003,0.0003,0.2,"[1024, 512]",0.2,42,7
verb,0.7196323275566101,0.9683797955513,64,30,256,0.0005,0.0003,0.2,"[1536, 768]",0.2,42,7
verb,0.7196323275566101,1.016097068786621,64,30,256,0.0003,0.0003,0.3,"[1024, 512]",0.2,42,7
verb,0.7196323275566101,1.0223461389541626,64,30,256,0.0003,0.0008,0.3,"[1024, 512]",0.2,42,7
verb,0.7196323275566101,1.048905611038208,64,30,256,0.0002,0.0005,0.3,"[1024, 512, 256]",0.2,42,7
verb,0.7189757227897644,1.0041530132293701,64,30,256,0.0005,0.0008,0.3,"[1024, 512]",0.2,42,7
verb,0.7189757227897644,1.0050028562545776,64,30,256,0.0002,0.0008,0.3,"[1024, 512]",0.2,42,7
verb,0.7156926989555359,0.9642000794410706,64,30,256,0.0002,0.0008,0.25,"[1024, 512]",0.2,42,7
verb,0.7156926989555359,1.031703233718872,64,30,256,0.0005,0.0003,0.3,"[1536, 768]",0.2,42,7
verb,0.7156926989555359,1.0910334587097168,64,30,256,0.0005,0.0003,0.3,"[1024, 512, 256]",0.2,42,7
verb,0.7130663394927979,1.0800108909606934,64,30,256,0.0002,0.0008,0.3,"[1024, 512, 256]",0.2,42,7
verb,0.7117531299591064,1.1360564231872559,64,30,256,0.0005,0.0008,0.3,"[1024, 512, 256]",0.2,42,7
