task,best_val_acc,best_val_loss,block_size,epochs,batch_size,lr,weight_decay,dropout,hidden_dims,test_size,random_state,patience
noun,0.7076215744018555,1.2657806873321533,64,30,128,0.0002,0.0003,0.4,"[1536, 768]",0.2,42,7
noun,0.7069644927978516,1.2265775203704834,64,30,128,0.0002,0.001,0.35,"[1024, 512]",0.2,42,7
noun,0.7056504487991333,1.248062014579773,64,30,128,0.0002,0.0003,0.35,"[1536, 768]",0.2,42,7
noun,0.7023652791976929,1.3131825923919678,64,30,128,0.0003,0.0003,0.3,"[1536, 768]",0.2,42,7
noun,0.7010512351989746,1.3178445100784302,64,30,128,0.0003,0.0005,0.3,"[1536, 768]",0.2,42,7
noun,0.697766125202179,1.2549046277999878,64,30,128,0.0002,0.001,0.3,"[1024, 512]",0.2,42,7
noun,0.697766125202179,1.2859337329864502,64,30,128,0.0003,0.0005,0.35,"[1024, 512]",0.2,42,7
noun,0.697766125202179,1.3145723342895508,64,30,128,0.0003,0.0003,0.3,"[1024, 512]",0.2,42,7
noun,0.6964520215988159,1.2755863666534424,64,30,128,0.0002,0.0003,0.3,"[1024, 512]",0.2,42,7
noun,0.6951379776000977,1.2439581155776978,64,30,128,0.0002,0.001,0.4,"[1536, 768]",0.2,42,7
noun,0.6938239336013794,1.2923439741134644,64,30,128,0.0003,0.0003,0.4,"[1024, 512]",0.2,42,7
noun,0.6918528079986572,1.3020440340042114,64,30,128,0.0003,0.0005,0.4,"[1536, 768]",0.2,42,7
noun,0.6898817420005798,1.3796144723892212,64,30,128,0.0005,0.001,0.4,"[1024, 512]",0.2,42,7
noun,0.6885676980018616,1.3399348258972168,64,30,128,0.0005,0.0003,0.3,"[1536, 768]",0.2,42,7
noun,0.6872535943984985,1.343879222869873,64,30,128,0.0005,0.0003,0.35,"[1536, 768]",0.2,42,7
noun,0.6865965723991394,1.4038586616516113,64,30,128,0.0003,0.0003,0.3,"[1024, 512, 256]",0.2,42,7
noun,0.684625506401062,1.2870820760726929,64,30,128,0.0002,0.001,0.4,"[1024, 512]",0.2,42,7
noun,0.6839684844017029,1.3619102239608765,64,30,128,0.0005,0.0003,0.4,"[1536, 768]",0.2,42,7
noun,0.683311402797699,1.279077172279358,64,30,128,0.0005,0.001,0.3,"[1024, 512]",0.2,42,7
noun,0.6826543807983398,1.2787189483642578,64,30,128,0.0003,0.001,0.4,"[1024, 512]",0.2,42,7
noun,0.6655716300010681,1.4880106449127197,64,30,128,0.0005,0.0003,0.4,"[1024, 512, 256]",0.2,42,7
noun,0.6622864603996277,1.4476300477981567,64,30,128,0.0005,0.001,0.4,"[1024, 512, 256]",0.2,42,7
noun,0.6603153944015503,1.4280847311019897,64,30,128,0.0002,0.0005,0.4,"[1024, 512, 256]",0.2,42,7
noun,0.6530880331993103,1.4100921154022217,64,30,128,0.0002,0.001,0.4,"[1024, 512, 256]",0.2,42,7
